O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Fe AlO1.5 ,Fe CaO ,Fe KO0.5 ,Fe Ssil ,Fe SiO2 ,Fe ThO2 ,Al $a$ ,Al Al ,Ca $a$ ,Ca $b$ ,Ca Ssil ,Ca SiO2 ,Ca ThO2 ,Ca UO ,K $a$ ,K $b$ ,K K ,K SiO2 ,Mg $a$ ,Mg SiO2 ,S $a$ ,S $b$ ,S $c$ ,S S ,S Si ,S U ,S SiO2 ,Si $a$ ,Si $b$ ,Si $c$ ,Si Si ,Si Th ,Si U ,Th $a$ ,Th $b$ ,U $a$ ,U $b$
4.906170514180908937e-02,-1.273035145219134137e+02,1.698904524855232578e-01,1.898226631885667481e-02,-3.588055697514792586e-01,7.393702464972438937e-02,4.850712625016519305e-04,-1.874609929419891741e-01,-5.882020075989868868e-03,3.903813467686870240e+02,3.689136145540829830e+02,5.009702844419055623e+02,6.264433937038470503e+02,6.047601795565321936e+02,6.678122287739355443e+02,6.020665657600962097e-03,-1.653772971441723194e-01,-3.968479167012556146e-03,3.844850600095661974e+01,-6.616837910716837996e+02,-7.150545961190492790e+02,1.348223590887731461e+03,1.166737137383526488e+03,-4.264741602617379453e-03,1.464300023540882378e+01,-1.224720784023578812e-01,1.104115170988980736e+02,2.186771786979969153e-03,-2.595250808680587511e+02,-1.878683867558091037e-03,1.612575456881184977e+00,1.782899699900573898e-01,-7.957808766923257782e-03,-6.279084451595056370e-03,-4.101172119234360383e-04,-4.945460441892702619e+01,-5.470645785464422345e-03,5.420977798273449366e+01,-3.347670585463530940e-02,-2.566735099232789197e-03,-2.273758085781449681e-02,-5.598291103323329958e-03,-1.612499419010462315e-02,6.340025034943284510e+01,-1.699504777067090697e-03,1.758808254109100133e+01
-1.273035145219182596e+02,4.959052949908587034e+05,-3.178694929285915123e+02,-3.775904497447538688e+02,7.768259551836317769e+02,-1.355277238846131240e+02,-2.915617410398481724e+01,7.900906395838439948e+02,4.031578979644161365e+01,-5.242232713766965084e+06,-1.728123590600224677e+06,-2.839244061145714018e+06,-5.127685409493822604e+06,-5.578433269039688632e+06,-6.312379052306335652e+05,-5.889375098405704989e+01,2.267717197124954964e+03,4.800550520359868045e+01,-5.235800744008275797e+05,3.418295069995905273e+06,1.304167616598943621e+07,-1.186064567147581466e+07,-1.008431844360078685e+07,2.231348917802423060e+01,-1.591328373356827069e+05,2.615520097700955830e+03,3.278965921343064867e+06,-1.727119325818615536e+01,5.473010218670945615e+06,2.109327146653003382e+01,-2.359595520348960054e+04,-8.442422089753617911e+02,2.096741924412695823e+01,2.360613250737443281e+01,5.322025649463831165e+00,1.799953388958887430e+06,4.179470503009210347e+01,-5.907278734467867762e+05,1.104810606853018953e+03,1.800876542191993579e+01,1.462075287481641226e+02,5.069242475097985334e+01,7.855127929896755745e+01,-4.805627817465369008e+05,1.209006615311735366e+01,-1.517486929551093199e+05
1.698904524855233134e-01,-3.178694929285760509e+02,1.040877030760118505e+00,-1.544040216641999752e-01,-2.275135817838637831e+00,1.225435441555675076e-01,-1.002756105705168016e-02,-1.522221218224418526e-01,-1.538176877462781034e-02,5.522052409244091677e+02,5.475671134106076352e+03,5.631728733946799821e+02,-1.609122665719394263e+02,-5.539648209578017486e+02,8.658184964808265249e+01,-7.088490344900443517e-03,-4.634522688561436288e-02,2.342437956871063626e-02,-3.275859966503280134e+02,2.728302697395478390e+03,1.077951655528816445e+04,8.490044521886520670e+03,5.630447270618750736e+03,-4.927767969203488731e-03,-3.088553167958266243e+01,9.724590156454036016e-01,2.763890390112131172e+03,-7.665134005968482316e-03,1.844835685455325574e+03,4.467598833896911301e-03,-3.554144587118261978e+00,-1.582800740193175959e-01,-4.808486003353562056e-03,-9.821044453939805144e-03,-2.832877458286587637e-03,6.689869740143556101e+02,-8.045447463434810334e-03,-7.659175197412731961e+01,1.043804969370128344e+00,-2.370779296855776448e-03,1.015468105146299493e-03,2.558120142707440473e-04,-1.169163810283823518e-03,-3.973847400988393019e+01,7.588789794579274637e-04,-1.257189168974434956e+01
1.898226631886175408e-02,-3.775904497447816084e+02,-1.544040216641917873e-01,1.377510238846739377e+01,-1.074622444586849496e-01,-1.969237674537804503e-02,1.531737650612366997e-01,-1.632492634690057898e+00,-2.055033809039392145e-01,1.994299809448884844e+04,2.170248348371933389e+04,3.113749423934184051e+03,8.524232409304235262e+03,7.403222684711828151e+03,6.830465484319170173e+03,6.140560711621274592e-01,-5.846979650395860517e+01,7.873375832541234035e-03,-2.874031193585169603e+02,1.469678621831329838e+04,1.659705122171218682e+04,6.304041099026255688e+04,5.051909000471403851e+04,-1.863526453420563320e-02,2.195577277982098678e+02,-7.402017785510062176e+00,-5.317371749481556435e+03,3.784242413913068565e-02,-1.209686949298508443e+04,-4.286229326039989879e-02,6.989827677979234011e+01,1.011860164264620776e+00,-1.317661779997346926e-02,-2.120464953521389653e-02,-2.259315093621953874e-02,-4.836932977070264315e+03,-8.933451451066586058e-02,1.040618384827166665e+03,2.374557988519759577e-01,-4.281501828246161295e-02,-2.636249194094104631e-01,-1.128512646159735427e-01,-1.254694278456231771e-01,7.384419817765779044e+02,-2.308331736725328584e-02,2.174734132437781113e+02
-3.588055697514761500e-01,7.768259551835902812e+02,-2.275135817838626728e+00,-1.074622444586565972e-01,1.198521776149653029e+01,3.822450445175497036e-01,1.451461047791809678e-01,9.658641446395727082e-02,6.245062533305773683e-02,-5.557661199582671543e+03,-2.597833745694783374e+03,-2.905477571295346479e+03,-1.148333565885894359e+03,-4.023849911935576529e+02,7.985071921436929188e+01,-6.499449218340084752e-03,2.836764205150235529e+00,7.435070373230729529e-03,-1.642034069423694120e+01,-1.046284170426205947e+03,-1.316409545833228776e+03,-1.530231223625754683e+04,-9.114682567362295231e+03,1.575603063711837962e-02,2.269352576895865781e+01,2.560642505327511920e+00,-4.084808913727476465e+03,3.212044752314104912e-01,3.311301506147693772e+02,1.554468372780370630e-03,-1.887034535672100688e+01,1.492110882889247536e+00,-3.921797118022178619e-02,6.645282421492626143e-03,1.301196902343354674e-02,4.396359425790504929e+02,4.225272548289418090e-02,-1.428691757235288549e+02,-1.386622907786560610e+00,9.884639290673772130e-03,2.906820513730326919e-02,1.974221957147547987e-02,9.300549177056500073e-04,-3.459030611125621846e+01,-1.082591786174878388e-03,-9.880783809287333241e+00
7.393702464971969868e-02,-1.355277238845844181e+02,1.225435441555605548e-01,-1.969237674541825245e-02,3.822450445175715195e-01,2.671947552186730857e+00,2.916148679893199591e-01,-5.836112805203438336e-01,-4.056475933805804568e-02,1.168504617619799774e+03,5.268742964821139140e+03,-8.113044825217160678e+02,2.138407405749608188e+03,1.110243525782957477e+03,-2.658653336174411834e+03,1.805043537567563305e-02,-5.110301643704140417e-01,5.493056089633163372e-03,-7.179297340737709021e+01,-4.357397092491165154e+02,1.943130674357490989e+03,2.980547649677729623e+03,4.078138075039470095e+03,-2.161010190400838166e-02,9.429572469431444404e+01,-6.240747651847847743e-01,-2.120287027384963494e+03,8.339290709664295975e-02,-1.586733864859466621e+03,8.621964893447522926e-02,-1.983850442689194438e+02,5.485772152376894972e+00,1.506092721138308499e-01,-4.469613653633724287e-02,2.796555573245555239e-03,-2.805617818961246144e+02,4.579656304715845616e-02,2.406803890326384376e+01,-3.527051912962810842e-01,-9.544557273598472391e-03,-3.699301304327640844e-02,-1.920124141581135147e-02,-2.797570386039857290e-02,1.456763841528669445e+02,-9.932448341378059473e-03,5.160337666550701385e+01
4.850712625020440864e-04,-2.915617410398237297e+01,-1.002756105704965053e-02,1.531737650612323698e-01,1.451461047791783587e-01,2.916148679893269535e-01,1.041087773320794385e+00,-8.566421562572817949e-01,-1.378388772084567226e-01,3.408560506291883030e+03,2.065742082275628945e+03,8.829599721334525384e+02,4.724599002749353531e+03,1.897589640864461444e+03,-4.329660063316120613e+03,2.358925809288833428e-02,-1.572851124967686198e+00,-1.584208816218652879e-02,1.734893074291116761e+02,2.721928766860200710e+01,-4.582960125598669038e+03,-8.600324792812297119e+02,3.630084595172947957e+03,-1.436168877275777363e-02,7.435502410373126736e+01,-1.574984672733440005e+00,-1.259431865496914725e+03,3.373935965311797291e-02,-3.813200700256084019e+03,-1.188686805781263844e-02,-3.061292767663517012e+01,8.589379140690173164e-01,-1.772708279337020798e-02,-5.661069567829960653e-02,-2.748330120446316333e-03,4.319502387718557657e+02,2.289648264483335957e-02,1.852339565792655947e+02,1.782310029456640299e+00,-1.683481438210914991e-02,-1.052091381134741543e-01,-4.885787411368713862e-02,-6.288044289426145128e-02,2.886068169427730368e+02,-2.074311861528210441e-02,9.497998591400346413e+01
-1.874609929419833454e-01,7.900906395845273664e+02,-1.522221218220786987e-01,-1.632492634691924627e+00,9.658641446370666572e-02,-5.836112805205067033e-01,-8.566421562577631876e-01,3.601434516151109619e+02,3.161667134226870068e+00,-2.226930577011228888e+04,1.552915315764412662e+04,2.749076166418782668e+04,-5.971466721605633938e+04,-1.254726800868395831e+00,-8.400570160594719928e+05,-6.153984768086143142e-02,1.485652935132463348e+01,-5.065442820475731800e-01,3.965993928491129736e+03,-1.266146212213569524e+05,-1.233361444789204834e+05,1.588798046666127397e+06,-3.177547971526515903e+05,-4.618715344282558338e-02,-1.225980928961909285e+03,-8.210969264958524860e+00,7.117586789323666017e+04,-1.344811727597167161e-01,2.977826435882071382e+04,4.711156253229004803e-02,1.500674529488996541e+03,-2.616927732381347793e-01,6.957397808578179299e-02,1.293146710365274510e+00,-1.862755115923348248e-01,-4.871309106484117365e+04,1.445170845478500332e-01,-1.496753805413395867e+03,4.816305129878657887e+00,1.789804326201622220e-01,5.036394236625547194e+00,8.052240305693667555e-01,2.616140025482081199e+01,-5.494636066947890504e+04,6.553750897054130276e-01,-1.296257042225065106e+03
-5.882020075966223720e-03,4.031578979630104698e+01,-1.538176877459307423e-02,-2.055033809037210002e-01,6.245062533291088902e-02,-4.056475933801436534e-02,-1.378388772084098712e-01,3.161667134225667475e+00,2.754713391827439395e+01,-6.874748960441134841e+03,-1.124273322779205273e+03,-5.090768940157476209e+03,-7.591619039315657574e+03,2.193716614823172677e+03,-2.115005757264735439e+04,3.847363860181914758e-03,2.994289390428493292e+00,1.164750872974106835e-03,9.384205861156073070e+01,-1.027134279457083539e+04,-4.784396028147402831e+03,-1.498269425246938044e+04,2.148131140959639451e+05,3.656524473661128261e-02,1.338942243403844046e+01,6.348325800475455694e+00,-4.840022682586312840e+03,-1.710372010210155572e-02,5.429732210817864143e+03,5.755058170107774183e-04,1.542422463023640375e+02,1.325447723192183513e-01,-5.440112718725986091e-02,1.537785863340738468e-01,2.895707944503019160e+00,-4.215010897982537244e+03,6.976597917524769883e-03,-1.239136034158445341e+02,-5.471642190269476735e-01,3.837063841781015311e-02,3.311239286882303734e-01,1.374447340293003750e+00,2.562534916793888784e-01,-4.861870545116527182e+02,3.227517264750383585e+00,-6.583251483441160417e+03
3.903813467688456171e+02,-5.242232713767724112e+06,5.522052409247364722e+02,1.994299809448920132e+04,-5.557661199583623784e+03,1.168504617620316594e+03,3.408560506291943057e+03,-2.226930577007247848e+04,-6.874748960446273486e+03,5.371233255244771242e+08,-6.532320251220811903e+07,-3.386431367834952660e+06,1.665136999302857220e+08,5.077415302137628198e+07,-1.191910357171593606e+08,7.919934421102017268e+02,-2.535046589626547648e+05,-5.778240063984211474e+02,7.916141673640944064e+06,8.673327275008335710e+07,-1.512483037126885355e+08,4.950044709573790431e+08,4.902974690923777223e+08,-1.913582467814637482e+02,2.614663430977629963e+06,-2.473842996864422457e+05,-1.031001213242672831e+08,7.484378771472654535e+02,-2.541216664905582070e+08,-1.082239319431881313e+03,1.772027163999473909e+06,3.495788331285126333e+04,-1.821292257821388034e+02,-8.571748746406450437e+02,-8.151066085415154703e+02,-1.046309272383407652e+08,-1.439701886993985909e+03,1.581478077113858052e+07,3.802322437469410215e+04,-1.201612332896013640e+03,-3.396399306949875609e+03,-2.615666465041609172e+03,-1.194224206999322860e+03,8.987555966569561511e+06,-5.080441222376734345e+02,2.535074305754203815e+06
3.689136145533348099e+02,-1.728123590599896153e+06,5.475671134102961332e+03,2.170248348372230612e+04,-2.597833745688638373e+03,5.268742964821307396e+03,2.065742082275793564e+03,1.552915315762416503e+04,-1.124273322765982357e+03,-6.532320251215780526e+07,9.912598376065996170e+09,1.399176019522740543e+08,6.590934028334999457e+06,9.345445404184184968e+06,-4.713118366078860313e+07,6.007750388656480936e+03,4.930165494848281924e+03,3.148664591433541864e+04,-4.489552999712563753e+08,5.763308942573143005e+09,1.439441358948007011e+10,1.277625178680060577e+10,9.798285914859247208e+09,2.309736133431518738e+03,-4.713881355206056498e+06,5.806866638053356437e+05,4.913184454244171381e+08,2.830930385823216056e+03,2.387867321783880293e+08,-4.067914036196495431e+02,1.559767305279214634e+06,8.523471622506678614e+03,-2.922035919369138810e+03,-3.835970379371623267e+02,-2.374489676960296780e+00,1.134335296820760965e+08,-7.711691193238978030e+02,-7.743895174514540471e+06,5.501026144452861627e+04,-1.919861223863362909e+02,-1.360583195192612607e+02,2.007898846886250226e+02,1.723880054460021938e+03,-5.155279321784984320e+06,-1.955050710571937245e+01,3.528111280688065453e+05
5.009702844422014323e+02,-2.839244061146625318e+06,5.631728733955656026e+02,3.113749423934550578e+03,-2.905477571297275063e+03,-8.113044825208926341e+02,8.829599721334889182e+02,2.749076166417736749e+04,-5.090768940157680845e+03,-3.386431367834352888e+06,1.399176019522913098e+08,5.867365099427829981e+08,-1.536482668043777049e+08,3.946650792100249231e+07,2.215633734844907224e+08,9.283637525522320857e+02,1.743617834668184514e+04,-1.362479707285027644e+03,3.670929307424740400e+06,-2.708861375127611756e+08,1.423975704497292638e+08,8.609850908412803411e+08,3.231096796244973540e+08,-2.534458810307753083e+03,-7.126456084326265380e+06,-2.807950608062456595e+05,7.464839656227514744e+08,1.971640181392135673e+02,-2.367645000581780449e+07,-6.409215785741790796e+02,7.219487941344190389e+06,1.893588679844294893e+04,-1.147187392319734954e+03,4.463214816927909851e+03,-9.159171270107557348e+02,-2.127102746333985031e+08,1.065469768879535337e+02,2.886485553408291657e+06,-1.980542701830409715e+04,2.869505171756373443e+02,2.538315181534567273e+03,1.565806329637971658e+03,3.605651083270869549e+03,-6.885818425204435363e+06,4.614490370122790637e+02,-4.795260028911944246e+05
6.264433937036917541e+02,-5.127685409493161365e+06,-1.609122665723207035e+02,8.524232409303225722e+03,-1.148333565885013968e+03,2.138407405749630470e+03,4.724599002749326246e+03,-5.971466721603269252e+04,-7.591619039318089563e+03,1.665136999302732944e+08,6.590934028240454383e+06,-1.536482668043973744e+08,4.215786330253702998e+08,9.569071653624734282e+07,-3.995813874313981533e+08,8.964786913652260409e+02,-8.142902735975298856e+04,-5.047403716382355583e+02,9.575926939158631489e+06,3.156062293108208179e+08,-3.293426725038614273e+08,-5.971794881853194237e+08,-4.784047933368698508e+07,7.965386302452284895e+01,6.653023462602400221e+06,4.755020858040237727e+03,-2.996637838673064709e+08,4.140478036498523693e+02,-1.237005742442058176e+08,1.519970156839653619e+01,-8.156526448202885687e+06,-1.303672631046253809e+04,1.667801445382489874e+03,-7.432211965478747516e+03,3.094180419001143036e+02,2.582426832636515796e+08,-1.403121594354911394e+03,1.277482726063024625e+07,7.265658684158232063e+03,-1.457380960765805412e+03,-8.972701118878228954e+03,-4.150720754468455198e+03,-6.248664251119724213e+03,2.145934731505243108e+07,-1.698910141005043670e+03,6.595533517768668942e+06
6.047601795565273051e+02,-5.578433269039566629e+06,-5.539648209577793523e+02,7.403222684711236980e+03,-4.023849911935628825e+02,1.110243525783445875e+03,1.897589640864535568e+03,-1.254726789365609108e+00,2.193716614821221810e+03,5.077415302136298269e+07,9.345445404164565727e+06,3.946650792099408060e+07,9.569071653625547886e+07,1.669203640064386129e+08,-1.389814440813164413e+08,1.489869261717868085e+03,-2.356668320243657581e+04,-9.964748876653846992e+02,1.125034516133975983e+07,-8.388028113924777508e+07,-2.428283021252378523e+08,1.803508414589778781e+08,1.252305131580980718e+08,-3.067389751627490000e+02,3.301688774282563012e+06,-1.556219257031172310e+04,-4.952612689263552427e+07,1.697172323206707460e+02,-3.461017714843571186e+07,-1.663323411554715676e+02,2.030517782085775689e+05,6.116925873851842880e+03,-1.025625664587142865e+02,-2.213877208928435039e+02,1.672299604072666313e+01,-1.326762109459842928e+07,-1.320105035959271618e+03,1.258189991268613003e+07,-1.576380701268783014e+04,-1.176480017553746364e+02,-2.092277438744045867e+03,-7.789327868322324093e+02,-4.901248165834118709e+02,8.977425746284306049e+06,-1.967977872343531587e+01,3.648302777091360185e+06
6.678122287739766989e+02,-6.312379052321464987e+05,8.658184964770480008e+01,6.830465484323930468e+03,7.985071921394417416e+01,-2.658653336174730612e+03,-4.329660063315302068e+03,-8.400570160594556946e+05,-2.115005757264415297e+04,-1.191910357170537412e+08,-4.713118366074483842e+07,2.215633734844796956e+08,-3.995813874313554168e+08,-1.389814440812962651e+08,1.367974533932212257e+10,-1.055034918416991729e+02,1.395161019082752864e+04,4.924573477650154018e+03,-6.433544255934952945e+07,1.866128190868734837e+09,2.428240243490931034e+09,7.943337205995489120e+09,5.316300307201700211e+09,-3.887353634315089153e+02,2.030219057166569401e+06,3.453082459510222543e+04,-1.925162641846508384e+08,6.879730196689091599e+02,-1.766229753355731368e+08,2.070539268612151318e+03,-6.251695464689268731e+06,-1.988102103915573389e+04,6.182198395286762207e+03,2.723904465601201082e+03,1.636293361798156639e+03,3.106879671354099363e+07,1.699428923208373135e+03,-3.973289757081144955e+06,-1.356230576707513246e+05,3.199247038344119574e+03,-7.280340950764101581e+04,7.527169236083947226e+02,-7.035365603963795002e+04,1.052702692248210162e+08,-4.144579809841544375e+03,1.286568949085985310e+06
